"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000056487.16",3.30846455200903,-0.00020811620240784,0.112262720535673,0.979363688721157,NA
"ENSG00000280953.2",3.30846455200903,-0.00020811620240784,0.112262720535673,0.979363688721157,NA
"ENSG00000284311.1",3.30846455200903,-0.00020811620240784,0.112262720535673,0.979363688721157,NA
"ENSG00000234750.1",5.10891294739972,0.000260319662240972,0.112086716700715,0.979410641695262,NA
"ENSG00000253652.1",5.10891294739972,0.000260319662240972,0.112086716700715,0.979410641695262,NA
"ENSG00000241026.1",28.721014972092,-0.000535306034765113,0.109743970588725,0.979471972004866,NA
"ENSG00000261203.1",29.4471622888145,-0.000558379387773054,0.109872282136766,0.979496972178612,NA
"ENSG00000009413.16",5950.66857800395,-0.00132351588501244,0.0680131250042309,0.979576650139871,0.996653586969389
"ENSG00000251614.1",61.8446510430678,0.000811465850203058,0.107110825566887,0.979611382159418,0.996653586969389
"ENSG00000251451.1",28.9618133560175,-0.000556278450631413,0.109728596939603,0.979625521268183,NA
"ENSG00000273344.1",33.9552253865446,0.000728077200583021,0.109393533342931,0.979651060078945,NA
"ENSG00000231395.1",31.2139501740591,-0.000583651447762644,0.109574087473489,0.979652545572735,NA
"ENSG00000240677.1",5.11078902987271,0.000306505777957871,0.112090162535525,0.979666884936916,NA
"ENSG00000241963.3",5.11078902987271,0.000306505777957871,0.112090162535525,0.979666884936916,NA
"ENSG00000267815.1",5.11078902987271,0.000306505777957871,0.112090162535525,0.979666884936916,NA
"ENSG00000179387.10",393.645161030176,-0.00132690634045621,0.0920934185290746,0.979696487583441,0.996653586969389
"ENSG00000254915.1",10.7435507297378,-0.000314322469348923,0.111718019436344,0.979697241504436,NA
"ENSG00000229776.1",11.726966492695,-0.000362130064805261,0.111473060129477,0.979720725135206,NA
"ENSG00000233627.2",11.726966492695,-0.000362130064805261,0.111473060129477,0.979720725135206,NA
"ENSG00000144847.13",85.9036021808887,0.00102804372407232,0.105308476205331,0.979741284939372,0.996653586969389
