Geneid	control_1	control_2	SRRM2depl_1	SRRM2depl_2	SONdepl_1	SONdepl_2	doubledepl_1	doubledepl_2
ENSG00000284668.1	0	0	1	2	2	0	0	4
ENSG00000284703.1	0	0	0	0	8	0	2	2
ENSG00000229280.1	0	0	0	0	0	0	0	0
ENSG00000235054.3	0	0	0	4	0	0	0	2
ENSG00000284694.1	0	0	0	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0	0	0	0
ENSG00000232596.2	0	0	0	0	0	0	0	0
ENSG00000196581.10	4	4	2	2	0	2	2	4
ENSG00000284739.1	0	0	0	0	0	0	0	0
ENSG00000284674.1	0	0	0	0	0	0	0	0
ENSG00000231510.1	0	0	0	0	0	0	0	0
ENSG00000284616.1	0	0	0	0	0	0	0	0
ENSG00000284692.2	0	0	0	0	0	0	0	0
ENSG00000284666.1	0	0	0	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0	0	0	0
ENSG00000283356.1	0	0	0	0	0	0	0	0
ENSG00000236948.2	38	32	15	36	114	108	62	62
ENSG00000264341.1	0	0	0	0	0	0	0	0
ENSG00000264101.1	1	1	3	1	1	0	2	1
ENSG00000131697.17	2533	2148	1931	2635	1774	1494	1921	1650
ENSG00000069424.14	996	812	659	966	757	602	806	681
ENSG00000116254.17	430	420	378	526	429	442	470	384
ENSG00000285629.1	172	144	177	231	137	125	126	109
ENSG00000116251.10	786	708	655	897	611	385	462	457
ENSG00000226944.1	0	0	0	0	0	0	0	0
ENSG00000158286.12	650	588	393	570	485	249	364	339
ENSG00000116237.15	941	661	651	1082	1023	544	661	814
ENSG00000225077.3	6	8	6	4	12	6	5	8
ENSG00000173673.7	0	2	0	0	0	0	0	2
ENSG00000158292.6	62	71	54	85	87	30	45	26
ENSG00000097021.19	4176	2970	2765	4028	2953	2242	2838	2727
ENSG00000271746.1	0	0	0	0	0	0	0	0
ENSG00000069812.11	110	131	126	182	135	60	102	88
ENSG00000187017.16	435	443	344	580	422	234	314	337
ENSG00000265392.1	0	0	0	0	0	0	0	0
ENSG00000231868.1	0	0	0	0	0	0	0	0
ENSG00000215788.10	123	109	137	196	107	46	104	125
ENSG00000171680.21	432	423	383	668	418	271	520	468
ENSG00000162408.10	1734	1448	1381	1922	1958	1456	1820	1769
ENSG00000253022.1	0	0	0	0	0	0	0	0
ENSG00000229519.2	0	0	0	0	0	0	0	0
ENSG00000173662.20	14	8	8	2	4	2	6	10
ENSG00000204859.12	266	327	197	327	247	225	212	198
ENSG00000162413.16	1231	981	794	1191	1194	662	1012	972
ENSG00000116273.5	331	240	234	354	393	150	148	228
ENSG00000041988.15	185	131	142	309	273	161	211	212
ENSG00000007923.15	3489	2695	2615	3730	3198	2728	3263	3107
ENSG00000228750.6	0	2	0	0	0	2	0	0
ENSG00000284744.1	0	0	0	0	0	0	0	0
ENSG00000237436.1	8	15	6	7	29	10	6	27
ENSG00000171735.18	10844	8542	7050	9529	7033	5427	5876	5632
ENSG00000227950.1	0	0	0	0	0	0	0	0
ENSG00000237365.1	0	0	0	0	0	0	0	0
ENSG00000207056.1	0	0	0	0	0	0	0	0
ENSG00000237402.1	0	0	0	0	0	0	0	0
ENSG00000237728.2	0	0	0	0	0	0	0	0
ENSG00000225126.1	0	0	0	0	0	0	0	0
ENSG00000270171.1	0	0	0	0	0	0	0	0
ENSG00000270035.1	0	0	0	0	0	0	0	0
ENSG00000269978.1	0	0	0	0	0	0	0	0
ENSG00000049245.12	582	396	445	570	598	315	428	431
ENSG00000269925.1	0	0	0	0	0	0	0	0
ENSG00000049246.14	549	445	392	589	640	467	749	695
ENSG00000236266.1	0	0	0	0	0	0	0	0
ENSG00000049247.13	50	21	27	43	22	24	27	31
ENSG00000049249.8	6	15	11	20	18	10	14	16
ENSG00000270330.1	0	0	0	0	0	0	0	0
ENSG00000116288.12	2342	1753	1552	2285	2318	1556	1747	1816
ENSG00000200344.1	0	0	0	0	0	0	0	0
ENSG00000284747.1	258	152	180	287	294	150	219	218
ENSG00000284716.1	0	0	0	0	0	0	0	0
ENSG00000116285.12	116246	89076	64753	87139	95615	73209	88776	86549
ENSG00000238290.1	9361	7907	5942	8620	11704	7461	9799	9854
ENSG00000232848.1	0	0	0	0	0	0	0	0
ENSG00000229305.1	620	575	414	711	758	527	689	683
ENSG00000227634.2	906	843	457	693	1169	668	907	968
ENSG00000200975.1	0	0	0	0	0	0	0	0
ENSG00000233645.1	5	6	4	16	16	2	14	18
ENSG00000251977.1	0	0	0	0	1	0	0	0
ENSG00000162426.14	952	841	322	550	758	577	372	348
ENSG00000252254.1	0	0	0	0	0	0	0	0
ENSG00000142599.17	26559	19260	19318	25446	19319	16037	18808	17440
ENSG00000232912.5	0	0	0	0	0	0	0	0
ENSG00000221083.1	0	0	0	0	0	0	0	0
ENSG00000270282.1	0	0	0	0	0	0	0	0
ENSG00000234619.1	0	0	0	0	0	0	0	0
ENSG00000224315.2	0	0	0	0	0	0	0	0
ENSG00000222511.2	0	0	0	0	0	0	0	0
ENSG00000226545.1	0	0	0	0	0	0	0	0
ENSG00000228423.2	0	0	0	0	0	0	0	0
ENSG00000229716.2	2	0	0	3	2	2	1	0
ENSG00000074800.15	11866	8651	8650	12393	13704	8449	11784	12076
ENSG00000274258.1	0	0	0	0	0	0	0	0
ENSG00000230679.1	32	23	33	56	69	27	43	34
ENSG00000201725.1	3	2	3	3	0	2	0	0
ENSG00000238249.2	4	2	2	2	6	6	10	5
ENSG00000232208.2	0	0	0	0	0	0	0	1
ENSG00000232663.2	0	0	0	0	0	0	0	0
ENSG00000131686.14	2	2	4	4	4	2	2	2
ENSG00000265141.2	0	0	0	0	0	0	0	0
