"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"bin_25592",586.266026050993,-0.49114823905615,0.222062612218383,0.0022829503001228,0.0203211527167634
"bin_6741",728.075612534949,-0.327407246477937,0.129627865657146,0.00228482193391982,0.0203233663244832
"bin_24990",547.551131650901,-0.514547575268016,0.23644971550494,0.00228560519598419,0.0203233663244832
"bin_25990",695.94255797015,-0.400543125124368,0.168893428465069,0.0022861096419689,0.0203233663244832
"bin_4688",790.31335605848,-0.374964967347095,0.154756113539166,0.00228634593987654,0.0203233663244832
"bin_19261",711.967946505784,-0.414296262226537,0.176691914187582,0.00228665686872108,0.0203233663244832
"bin_12224",525.776605961128,-0.535571202840554,0.24962218986842,0.00228733521470218,0.0203233663244832
"bin_5635",645.234320546985,-0.45061977539459,0.197969926736556,0.0022900630344927,0.020341472829129
"bin_14152",822.103143723249,-0.292611737091283,0.112423567179138,0.00229819804654035,0.0204038802003779
"bin_4904",510.411492651218,-0.587666872051918,0.283310864524437,0.00229847312321343,0.0204038802003779
"bin_19519",713.912024495195,-0.395963682715509,0.166506191974079,0.00229965471286762,0.0204046712179152
"bin_6749",545.534708429149,-0.595900368027611,0.288712607868588,0.0022999464895062,0.0204046712179152
"bin_16617",543.493789525962,-0.588718623727186,0.284043985602514,0.00230171355492497,0.0204142049677325
"bin_3111",708.889751237183,-0.331338518040407,0.131783113509369,0.00230738868015463,0.0204506501078094
"bin_13719",740.156973482476,-0.378899157202356,0.157170640395211,0.00230743333602305,0.0204506501078094
"bin_6739",845.512094251034,-0.220824597438736,0.0797112215362752,0.00230790383327166,0.0204506501078094
"bin_3484",733.597427976754,-0.348707258104779,0.140966044666863,0.0023138445231095,0.0204971305245767
"bin_2667",522.242179666346,-0.559323406635951,0.265450807431044,0.00231456390793242,0.0204973441182805
"bin_5055",575.216595334467,-0.516645356755942,0.238488038636308,0.00231743699212191,0.0205107030530728
"bin_11729",701.180546842433,-0.412009780027382,0.176036801980523,0.00231746385366119,0.0205107030530728
"bin_21049",737.818248171409,-0.365530289980484,0.150074024539869,0.00232026414216648,0.0205293238821158
"bin_24482",726.338965295588,-0.361729710865297,0.148070303674675,0.00233008068745424,0.0206099936234139
"bin_28106",586.277909117112,-0.538534858198874,0.252789247815715,0.00233149945286626,0.0206147088068254
"bin_10963",545.501264858406,-0.55209585914008,0.261170167090286,0.00233252863189909,0.0206147088068254
"bin_5225",1243.44223513589,0.195912973089552,0.0693537211594212,0.00233271152876665,0.0206147088068254
"bin_13346",629.432861992686,-0.415469208904046,0.178016379521317,0.00233476359648093,0.0206266603499713
"bin_13984",656.556081313213,-0.387026162614015,0.162048993618369,0.00233671815074333,0.0206377434997196
"bin_4584",1235.3803525948,0.180892910316995,0.0633231527120719,0.00233767516500234,0.020640012440681
"bin_20557",516.029154986565,-0.568396310830959,0.271862702043262,0.0023410437246352,0.020663565882027
"bin_4512",646.804577873692,-0.500875244408899,0.229270014235146,0.00234412487497878,0.0206807794059119
"bin_18206",601.296549894574,-0.49597733758847,0.226173334955372,0.00234439689205107,0.0206807794059119
"bin_8183",552.363680653491,-0.503551395196502,0.230931949102793,0.00234620690735409,0.0206905551408034
"bin_19113",777.466119035278,-0.33774931026925,0.13552280834559,0.0023483773358217,0.0207035024633252
"bin_11920",1795.45807190797,0.222802176271797,0.0806745981816792,0.00235296381544115,0.0207288689648763
"bin_14035",562.191354378985,-0.487715996167899,0.221267144863767,0.00235332305445729,0.0207288689648763
"bin_5441",627.795443823364,-0.507532753324824,0.232439356138783,0.00235397753645613,0.0207288689648763
"bin_5397",456.782201000215,-0.733365547702489,0.383848440020512,0.00235465257878076,0.0207288689648763
"bin_18946",1389.82606486706,0.179318979899711,0.0627575991870788,0.00235496851121712,0.0207288689648763
"bin_25198",779.766202370831,-0.26725633232942,0.100573379636856,0.00235554498775166,0.0207288689648763
"bin_19975",599.4633792342,-0.486072142897877,0.220374926147567,0.00235617651712291,0.0207288689648763
"bin_3507",762.280892642227,-0.393657876219366,0.165908370832223,0.0023595977077184,0.0207527744693455
"bin_25361",475.740778783943,-0.63010933087616,0.312536852737682,0.0023647521943159,0.020789021721833
"bin_26908",447.20432901913,-0.646387589865422,0.326048896891975,0.0023651293665421,0.020789021721833
"bin_22818",518.185985166735,-0.581724644853018,0.281067016968668,0.00236733311287312,0.0207967356413221
"bin_27351",567.543623351522,-0.463632886455747,0.206852761000091,0.00236749583619258,0.0207967356413221
"bin_10566",467.738267619305,-0.620612505038665,0.3068121990937,0.0023686444076363,0.0207967356413221
