Genes	G:\18.8.23_Michal\CSSdp12_S1-B12_1_3444.d.dia	G:\18.8.23_Michal\CSSdp11_S1-B11_1_3443.d.dia	G:\18.8.23_Michal\CSSdp10_S1-B10_1_3442.d.dia	G:\18.8.23_Michal\CSSde9_S1-B9_1_3441.d.dia	G:\18.8.23_Michal\CSSde8_S1-B8_1_3440.d.dia	G:\18.8.23_Michal\CSSnp6_S1-B6_1_3438.d.dia	G:\18.8.23_Michal\CSSnp5_S1-B5_1_3437.d.dia	G:\18.8.23_Michal\CSSnp4_S1-B4_1_3436.d.dia	G:\18.8.23_Michal\CSSne3_S1-B3_1_3435.d.dia	G:\18.8.23_Michal\CSSne2_S1-B2_1_3434.d.dia	G:\18.8.23_Michal\CSSne1_S1-B1_1_3433.d.dia	G:\18.8.23_Michal\CSSde7_S1-B7_1_3439.d.dia
ORC1	22296.9	26042	24130.5	27031.4	24818.2	27305.4	23590.3	26098.8	26997.5	22477.1	25336.6	24364.9
ORC2	25987.7	29694.8	29231.4	25392.8	28935.4	28178.5	28874	27970.4	26758.4	26564.5	26696	25509.9
ORC3	34369.8	32688.4	35426.8	33958.9	31805.7	30232	33021.8	34329.3	28807.5	30238.6	34696.5	30203
ORC4	43415.8	50162.5	41586.6	43976	49459.7	42504.4	55401.7	50218	62627.2	60488.3	58845.2	55401
ORC5	9379.44	11128.5	10165.4	9004.25	8252.27	8875.75	8885.55	12790.2	8236.85	7517.68	10822.3	4692.64
ORC6	14821.2	9655.52	12604.7	11657.6	12302.8	12052.8	14230.8	15070.9	16522.2	18492.1	16455.2	16998
OS9	18976.7	19130.5	21145.5	18078.7	20529.3	15191.8	17931.3	14836.4	19496.3	17977.6	20496.3	19570.7
OSBP	49774.2	46728.2	49414.1	43716	38381.2	46693.8	54175	47156.5	48573.3	42927.9	44619.1	47188.4
OSBP2	54134.6	28922.3	46103.5	39737.7	57667.1	47114.1	49867.5	53297.1	40844.2	42513.4	60604.6	37015.7
OSBPL10	2313.04	1773.6	2844.13	2435.61	1714.95	3213.56	3685.13	2027.44	1910.8	2216.04	2901.09	2560.82
OSBPL11	23175.2	24633.2	23407.6	22705.3	23779.8	19565.3	24545.7	22977.2	26013.7	25165.6	24560.1	27886
OSBPL3	33574.7	31731.2	34125.6	32795.1	29454	32723.1	33174.2	32530.5	32659.5	28582.4	28898.1	25890.8
OSBPL5	5054.07	3129.87	4084.14	8561.69	7108	4282.08	4157.97	3684.16	10613	8255.47	8967.76	6413.61
OSBPL6	5615.63	7251.4	6892.01	3761.77	6030.42		5275.26	6938.59	4031.5	6169.37	5325.41	5892.63
OSBPL8	95031	99725.7	95599.1	86801.8	90210.1	84318.1	87037.1	87474.5	84317.6	86766.6	83597.4	89661.5
OSBPL9	24566.4	25110.3	27483.3	21203.8	26173.4	24760.9	28096.8	26230.6	23929.3	24913.4	24032.7	22847.9
OSCP1	220781	183163	142562	184046	196265	238416	213114	253334	156946	72279.9	213318	161509
OSGEP	19435.5	19388.4	16641.9	21799.9	13910.3	19564.8	18476.1	18208.8	7178.44	9151.07	11867.9	11086.3
OSGEPL1	15061.4	14166	11757.8	13345.2	10674.1	15576.2	12329.2	14731.2	7971.89	8100.73	13054	12409.1
OSTC	52538.5	29103.3	54945.5	36445.9	23452	35487.6	50960.9	36682.1	28449.4	48524.3	35133.6	53668.2
OSTF1	34405.7	31665.6	33181.8	36045.6	34034.9	25482.8	32013.6	32385	38449.1	33410	36882.5	33981.3
OTUB1	184448	177310	171148	236991	214955	189355	194065	209433	194208	178153	243709	166423
OTUB2	5205.93	5864.23	4541.89	4166.51	5428.24	4835.02	7498.03	5095.47	7383.38	7709.37	8925.92	10156.7
OTUD3	4073.03	6385.12	3236.56	3091.97	3455.69	4824.84	8215.27	3486.69	6109.22		3738.67	4196.79
OTUD4	13069.4	13868.9	12724.3	11420.1	13103.9	13198.9	14943.5	15374.3	11796	11231.7	13487.3	14981.4
OTUD5	6996.09	9126.38	9358.69	10974.9	10076.6	7981.94	7132.55	8960.43	6360.35	7646.75	11137	4245.77
OTUD6B	72699.8	77597.6	82991.3	77933	70394.3	79234.3	77913.6	69480.3	77754.7	64533.8	75245.7	76968.2
OTUD7B	26218.8	33487.7	25719.1	27073.5	25925.5	29230.8	32026.8	30356.3	16880.2	27104.3	17374.3	24641.4
OTULIN	9104.12	10716.4	9103.93	11718.1	12606.3	15159	9030.43	8298.56	15489.9	8436.72	5130.66	6865.59
OVCA2	40419.3	45344.7	44635	36984.4	39156.7	36720.8	35488.2	40157.6	16764	21016.3	34181	25226.1
OXA1L	44818.4	47997.5	54971.4	59219.7	46214.3	53971.1	59320.5	52779.3	77127.6	79244.5	67143.1	61491.3
OXCT1	23654.1	29207.8	26151.3	28006.7	26506.2	28459	26469.5	30917.5	26845.9	27924.3	28125.7	26366.5
OXR1	13501.1	11284.8	10971.4	11487.1	13313.3	11712.5	17724.7	14796	16947.7	16730.9	16298.1	16394.4
OXSM	18331.1	22923.6	18528.7	20906.2	23828.5	20220.6	12519.1	21225.6	11657.8	8985.65	14018	8841.35
OXSR1	59426.6	66196.5	60258.1	61451.7	55208.1	62086.6	61527	68829.8	43426.6	34728.3	42486.8	45892.7
P3H1	10309.4	6772.27	9939.17	13459.1	13694.5	8173.9	10154.6	8066.89	12814.4	11454.4	11530.9	12942.7
P4HA1	39960	44910.1	40275.9	43964.4	42401.8	40496.3	37250.2	42383.7	31943.9	28607	32149.3	31346.9
P4HA2	12108.7	12713.7	11940	21095.7	19273.3	13126.4	11861.4	14854.2	19112.6	16567.8	16881.7	18168.9
P4HB	825939	832307	834402	1.00817e+06	973210	854411	795620	841547	893789	807894	925197	849510
P4HTM	6959.02	4992.17	7642.28	11086.2	11963.7	4717.1	7511.17	7104.6	15120.9	16153.3	16895.3	15162.1
PA2G4	693032	669844	675217	651948	663864	723780	717661	684872	683014	710651	738159	662888
PAAF1	15832.6	11728.2	20170.4	9651.48	14673.8	7340.84	15710.3	13265.3	12562.1	10974.2	12629.9	11424.5
PAAT	12701	8764.44	6984.02	11460.3	9820.75	15578.4	10338.5	9129.57	12478.3	14577.4	11754.4	14319
PABIR2	15352.7	14384.4	14636.2	20449.2	21232.7	13360	16191.9	12346.1	15097.9	16517.2	16303.5	11298.4
PABPC1	428191	423454	481649	461601	405557	402652	524151	463332	526404	595157	507112	542692
PABPC4	81497.1	84515.2	74206	95359	102473	84162.2	91358.7	88253.5	99872.7	103134	103001	97126.6
PABPN1L	3931.28	3628.53			1698.87	2370.29		3483.52				
PACS1	13018.3	16547.7	16090.5	13622.5	15031.9	13073.5	19862	14847.9	22735	22627.2	21921.2	23779.1
PACSIN2	64859	68228.3	70876.7	64781.9	61298.6	62017	65393.6	65551.6	64277.7	64057.6	62701.7	63097
PACSIN3	22347.1	21431	25418.4	30512.6	24409.6	21543.9	21716.6	20913.1	53872.7	45898.5	48486.4	38979.2
PAF1	34887.6	36479.9	39679.3	48254.7	47754.7	41990.7	34819.8	38076.8	40687	37931.1	42992.5	34721.7
PAFAH1B1	102863	142639	110346	121760	149451	122547	107552	119566	102417	102969	99217.3	94502.3
PAFAH1B2	48405.5	47538.1	49791.2	57161.3	51288.7	45971.9	40205.2	50004.6	27475	32300.6	37078.6	25645.5
PAFAH1B3	130282	119615	134895	124878	108982	118866	133015	137615	140220	118510	141934	132344
PAICS	777003	892688	855494	835442	879958	776008	786061	744990	681692	678163	718476	715700
PAIP1	65789.3	57174.8	49712.6	47300.1	50535.2	61646.5	58680.3	60629.6	53836.4	47574.7	48342	40990.2
PAK1	26206.1	27226	23424	29512.3	24647.7	27265.7	21443.5	29034.1	17647.5	16976.7	22936.4	17975.9
PAK1IP1	44467.6	37464.2	47479	43968.5	37298.6	31263	40753.5	46757.2	41563.5	38356.2	43122.7	54132.7
PAK2	134909	142162	122674	158589	162885	226878	136393	152160	149250	127325	138902	113405
PAK4	12601.1	14669.7	12610.1	21830.6	20730.7	17871.7	17095	18986.3	20942.1	15053.2	19860.4	13181.3
PAK6	4232.95	5455.32		5660.7	4597.34	4487.3	3278.38	5213.55	2003.95		3208.58	5666.42
PALD1	6245.18	9416.02	7652.3	12237.9	10395	7419.28	9079.95	8039.37	9927.93	9390.43	14654.1	10667.5
PALLD	67517.2	67140.1	64542.6	63134.8	63467	74304.9	76606.6	72720.1	72430.6	59957.3	65191.6	59583.6
PALM	664.194	1396.37	2169.45	2700.15	2383.91	1068.8	2579.51	1670.54	2526.84	2456.55	927.008	2232.88
PALM3	22462.9		23532.4		30391.8	24130.7	16028.6	22212.4	20691.1	19263.3	22453.7	21656.9
PALS1	13912.8	12673.5	15488.9	12819.4	12978.2	13752.7	14424.3	13617.3	13950.1	16942.2	14130.6	17971.6
PALS2	34392.2	35036.4	33789.5	35917.7	35595.9	38477.8	35381.4	33942	42831	38473	34558.4	40279.5
PAM	6134.11	4648.91	6663.76	8426.82	6389.52	7988.86	10049	7018.33	9805.61	9583.16	8353.85	10936.4
PAN2	3297.98		2916.13	4954.03	4137.49	6230	3975.68	5128.36	7158.12	4469.2	9310.29	7510.79
PAN3	3292.37	3070.85	2805.86	4579.25	4862.87	2903.57	4201.99	3134.7	3545.75	4758.51	2403.11	3218.78
PANK3	10148	9657.29	8035.4	8155.11	10314.9	8465.49	8533.66	10683.8	6930.26	3266.5	3249.13	
PANK4	16279	16007.9	14403.7	24438.8	22573.1	8908.18	16166.5	16691.1	20622.9	21104.9	28132.4	25942.6
PANX1	5708.77	3120.13	1209.86	4352.05		7099.25	3600.94	5434.65	3126.09			
PAPOLA	43768.4	37384.1	41394.3	37159.5	38829.5	47025.9	46795.1	42677.6	42560.8	42146.2	43216	41762.8
PAPSS1	73107.7	68005.9	71278.7	65186.7	69211.4	68198.8	67794.3	76254.6	75435.9	71330.3	72134.9	76708.9
PAPSS2	30760.9	30494.2	31867.9	26387.4	27305.5	25353.5	30745.1	33671.4	35909.3	34068.6	33225.2	38160.6
PARD3	17154.9	19672.6	17391.6	15858.9	14856.2	17876.4	17119.1	18144.6	14345.8	13678.9	14189.6	10063.6
PARD6B	4360.71	4549.27	4534.93	2888.28	6139.21	2215.03	5108.87	3499.65	5780.93	1460.47	3061.31	4578.4
PARG	16146	20121.7	17732.5	18748.3	15599.4	17606	14038.2	14853	16477.4	14256	19553.6	16119.4
PARK7	323750	309186	309754	319395	354241	311026	302854	340101	305788	296704	306303	301914
PARL	17996.9	16883.1	15118.8	15998.4	15685.4	16038.8	17142.5	16931.1	13790	13914.8	10978.5	16048.2
PARN	37720.9	44989.4	44463.1	38865.1	38920.1	43108.8	44684.9	43384.9	29596.2	41282.7	40235.6	38782.5
PARP1	308448	319738	313642	289435	293623	296876	298909	301189	268648	267938	291369	263437
PARP12	7896.91	8934.62	8127.91	7468.1	9952.11	7124.1	6806.43	6062.44	4826.65	7131.09	4848.46	7210.24
PARP14	4244.01	6009.11	4708.88	6401.12	8261.24	5112.69	4307.7	4451.86	4739.56	4047.89	4574.22	4458.7
PARP2	22248.5	21326.4	22883.6	22108.1	17773.4	22533.3	23646.5	20713.6	26790.6	25264.1	22224.8	26099.1
PARP4	64211.3	59830.6	62635.3	54262.6	52456.9	56463.9	63190.8	63069.1	49221.1	52895	59205.3	53254.2
PARS2	14493.4	11799.6	12276.3	11456.1	14711.1	17080.1	14560.9	13887.6	9374.51	12214.5	13549.1	10828.8
PARVA	36504.2	34481.2	34801.7	39983.1	43240	34637.4	35621.8	40600.6	39005.1	40861.5	41927.3	40006.4
PARVB	100139	132351	141922	98075.2	145541	128777	89109.3	138589	136612	110516	112739	124311
PASK	5621.13	7889.31	8293.47	10440.2	5830.4	8421.2	6174.18	7661.63	7300.57	6309.71	7296.2	9710.1
PATJ	15552.4	14999.3	17379.2	16931.7	12084.6	11735	18513.9	15900.2	21233.5	19098.8	18384.1	20665.4
PATL1	12334.5	12606.7	13381.3	14317.7	13536.8	12357.5	14399.1	12977.8	12128.2	14474.5	13382.1	12984.1
PATZ1	5242.63	5190.35	4559.9	4653.6	4725.53	3361.53	4707.68	4995.56	5977.77	4566.87	5807.59	4818.86
PAWR	18540.1	19670.1	15483.1	17175.7	17925.8	18302.9	18710.4	18856.7	16546	14243.9	18907.5	21713.7
PAXBP1	53873.5	49734.2	45956.3	42498.7	43772.1	48256.9	55599.6	46846.1	50778.8	47751.4	48909.1	44875.3
PAXIP1	3126.67	2657.11	2927.22	2734.45	2796.9	3544.04	3385.47	1793.82	3420.82	2870.08	3076.03	3540.32
PAXX	12532.7	18034.6	12528	14920.2	18902.4	13884	14730.6	16488.5	23220	19495.5	14067.1	12877.2
PBDC1	57552.6	52391.5	54723.2	53411.4	51106.5	57911	51455.1	55170.4	42197.5	43630.9	55143.5	51919.8
PBK	236583	273794	229779	201108	222575	215209	235224	259580	176165	144357	203910	132973
PBRM1	30072.4	28911.5	30955.6	29390.9	28895.7	30445	32121.4	31693.7	35569.2	31548.3	32629.2	32773
PBX2		1149.95	1579.58	1958.47		1743.88	1581.26	2775.79	2014.34	1826.5	2745.44	
PBXIP1	4162.12	4245.95	3709.41	6754.31	5127.91	6112.02	6291.22	4519.79	10403.3	11901.6	7363.88	11470.2
PC	8231.77	6907.83	6453.96	8208.38	5779.93	6937	7851.08	6782.34	9666.02	9107.9	8409.59	8609.14
PCBD1	220171	148008	174712	159115	166863	203243	253321	190013	165652	239534	210278	222983
PCBD2	19567.3	17762.6	23147.4	22606	19195.2	21393.3	24184.3	15768.9	27740.6	28992.3	24513.1	27379.7
PCBP1	580649	566608	555247	515904	524982	499441	517902	512123	376690	397097	496648	322225
PCBP2	222790	250120	193150	258432	260318	262472	202002	275171	175209	108012	194101	110211
PCCA	7826.32	7414.27	7898.81	8410.66	6398.38	7816.46	8856.25	6466.22	9439.79	7817.25	9704.42	8762.92
PCCB	7201.68	7563.84	4158.08	6185.75	10411.8	9471.96	4788.81	7537.74	1084.79	3208.43	5410	2854.74
PCF11	14765.3	16460.1	14596.9	15714.3	17156.6	13415.7	13534.9	13453.6	11799.1	11148.6	13180.1	10763.2
PCGF3	3550.45	4193.6	2129.37	6216.63	6027.96	4652.11	4524.76	4101.5	4561.12	4374.11	5814.04	3330.38
PCGF6	7385.81	10202.7	8888.28	10335.6	9707.06	13411.1	7979.35	13687	7454.55	4080.96	7402.2	5334.46
PCID2	32185.3	29397.7	38186.5	34952.8	29201	28953	31684.9	34997.7	43405.9	48365.4	28385.5	51518.2
PCIF1	14492	11955.4	14071.7	18233.6	15174.3	13797.5	16162.2	11542.9	22196.4	21730	12099.4	23750.5
PCK2	15561.4	16599.8	16171.6	25182.7	25441	21160.7	16283.8	16799.9	13902.9	21249.4	17634.5	21207.4
PCLAF	79226.1	79693	77853.3	89658	93729.4	74426.6	71923.4	74022.1	81909.7	60623.4	83014.9	49866.2
PCM1	20869.2	21089	20116.2	21582.2	21147.8	21230	20299.7	21439.8	21251	20968	23022.8	22205
PCMT1	207295	223152	276220	246308	229230	251316	268697	244966	256161	258515	253847	266423
PCMTD2	6668.78	8318.08	7959.57	3826.82	5985.65	5521.25	8272.28	4358.96	7392.71	7446.05	6364.89	6819.31
PCNA	315789	311119	315122	299227	332864	295970	277946	317676	275317	201851	279049	219253
PCNP	106981	99394.8	104483	82874.2	80557.8	84694.6	103487	98485.6	101137	104181	104661	92159.9
PCNT	6398.35	6977.58	8673.75	10638.8	11165.2	8061.06	6959.49	7312.16	14376.1	12227.2	12931.9	12786.8
PCSK5	2846.15	2022.86	2651.02	1771.52	891.607	1176.02	2000.78	1962.61	519.294	1894.18	1811.83	3066.75
PCSK9	3426.15	2164.15	4276.92	1300.11		1585.8	2241.54		871.201	2388.37	1696.93	1741.36
PCTP	7370.07	7133.66	6226.06		8148.01	5338.66	7811.78	9770.79	13790	13013.8	10983.2	11030.4
PCYOX1	26059.9	27665.4	25772.1	23349.5	27391	23648.8	24025.1	26205	19207.5	20873.7	23419	22815.6
PCYOX1L	21288	13368.6	17634.7	12436.4	8898.62	15107.4	16411.4	14762.6	14919.1	11802.2	14584.8	15112
PCYT1A	50249.8	57454.7	43577.3	33994.5	43071.8	46793.5	46461	54562.7	51157.3	51553.3	48261.5	55579.3
PCYT2	13764.5	11608.8	12177.7	14584.8	14249.1	10181.9	13840.6	10400.6	22861.2	18248.6	20516.5	29290.6
PDAP1	238533	216539	214253	204352	225171	225014	223034	244596	215345	212904	223021	191349
PDCD10	14352.7	16425.6	16842.9	16164.5	16727.2	13541.6	16449.5	16857.1	19465	18459.9	14818.3	27583.4
PDCD11	137596	141087	126933	132947	141393	132834	140833	139038	127402	120161	133994	120703
PDCD2	46447.9	49412	52660.2	44921.3	37100.8	47355	49917.1	50147.9	39790.8	40595.7	47404.3	44763.2
PDCD2L	50449.5	55384	53015.8	64668.9	59907.8	53690.5	57423.7	53917.9	61623.5	48447.8	64819.1	55118.4
PDCD4	50535.2	47750.1	48958.4	27398	28017	21890.3	36132.7	39326.4	19603.6	20030.6	28741.9	21167.8
PDCD5	341105	344705	329667	334020	354482	349839	349440	349231	312796	351493	355964	330213
PDCD6	62702.5	57864	59508.5	44786.6	46836.4	69155.6	59552.1	58285.8	18957.8	41734.6	53519.3	41655.5
PDCD6IP	300320	318301	293102	306720	312440	333389	316456	322228	305235	298699	323811	301279
PDCL	9880.24	12356.8	10551.4	13766.4	11261	10523.6	11346.5	12968.4	19044.4	11982.9	15234.2	17329.3
PDCL3	93314.9	97028.9	83275.3	91548.8	97911.1	92727.1	98786.7	100739	88818.1	95403.7	85597.6	77557.9
PDE12	90209.2	86489.7	73682.6	72761	68321.1	79581.7	75333.2	80441.5	64667	58230.5	67556.9	65643.5
PDE4B	17441.1	20037	19872.4	12222	16440.3	13191.2	18081.7	18404.6	7025.93	9220.32	15342.3	10646.4
PDE4DIP	10254.4	16032	12011.8	5377.07	13627.8	12220.7	10819.6	17083.7	10610.6	10708	16001.7	5632.15
PDE6D	17684.9	17277.3	19417.4	12604.4	15977.3	15144.2	18630.1	14547.2	14169.7	15144	18920.7	12522.2
PDE8A	3165.08	3653.88	5912.82	3119.36	3343.42	3686.99	4680.82	3919.07	6273.07	6316.97	5296.98	6024.23
PDE8B	4013.08	4641.27	4608.42									3003.63
PDHA1	74125.7	76252.5	63464.7	76526.9	75889.8	66498.8	56208.3	69684.2	78644.1	75726.6	83880.4	66595.4
PDHB	170218	179580	166579	200904	192242	190635	159565	180213	159614	136689	177615	142978
PDHX	30273.3	36067.8	28399.1	35612.9	33677.5	37464.6	24156.7	35147.7	21533.5	17600.5	22914.1	15343
PDIA3	648370	746322	678085	656509	648201	651402	592267	694728	527525	463503	572410	510171
PDIA4	341966	366869	332113	314686	348119	321062	336323	326713	291685	285580	329065	309833
PDIA5	56553.9	53294	52501.3	51404.2	52880.2	50248.6	52986.5	54836.7	43941.4	44584.1	48544.4	47686.7
PDIA6	141517	143142	136827	124592	128187	126016	124007	131655	97302.4	104394	113962	91781.8
PDK1	9128.26	7808.31	9758.26	7952.6	5439.92	7442.26	9125.37	8740.58	9005.87	8536.83	7216.51	11052.9
PDK3	7332.58	6504.34	9063.24	6331.36	5511.59	8177.43	8331.45	6027.77	8053.29	8200.76	5217.42	8321.66
PDLIM1	75120	85517	65210.8	77698.1	85239.3	75927.6	65201.6	74437.2	62672.5	68074.4	62705.5	49317.2
PDLIM2	16203.8	14076.4	17620.3	12213.5	14661.1	15038.7	18104.8	14012.1	17048.8	25131.3	19154.2	19845.5
PDLIM5	77163.5	86095.3	76558.2	82645.3	72275.5	79658.1	78420.4	86436.6	78351.1	63109.9	75607.7	66114.4
PDLIM7	89982.9	93325.2	98241.5	119692	97159.2	91485.1	106359	104704	136708	136271	153639	111055
PDP1	98681.5	103989	105863	117499	111829	118271	112498	109363	109537	118802	112060	118890
PDPK1	11137	11604.5	13305.6	11173.8	14542.6	12250.2	13338.3	9121.42	19868.3	14872.5	13514.7	14733.8
PDPR	13585.2	13074.7	11856.6	13703.5	13890.7	13980.2	10848.5	11764.9	10943.3	11484.1	12300.9	8900.93
PDRG1	20081	16912.7	22302.7	18054.2	20370.3	23049.8	18764.5	17072.4	15263	14288.7	14714.3	14512.1
PDS5A	245214	254201	256183	239533	226895	260705	260755	253303	219004	211741	246956	212627
PDS5B	18435.6	18193.9	18483.1	17400.2	16013.3	17500.1	17169	16364.3	17742.1	18744.1	19107.9	18224.1
PDSS1	5187.03	5249.99	5530.33		4539.06	1475.74	12308.8	8889.63	10299.3	9550.2	10802	11286
PDSS2	7110.24	4136.99	7261	4708.53	4082.16	5548.85	6274.24	5129.77	5926.05	8596.81	6857.76	9306.85
PDXDC1	35379.3	40885.2	39387.7	32893.5	41645.5	35528.6	32057.9	39541.6	29556.2	32219.6	31518.6	28622.1
PDXK	64403.2	64898.2	71330.7	60955.8	66381.9	56847	67669.3	63208.9	59241.1	60727.4	60199.8	71380.4
PDXP	29328.9	25189.9	23402	30956.2	28385	39508.7	21125.7	36974.9	16999.4	16370.5	23259.5	13364.3
PDZD8	10703.4	10032.7	10576.9	10130.8	8712.18	7798.73	11505.3	9153.71	8902.4	11792	11519.2	10604
PEA15	57150.7	58291.2	66506	60579.1	62201.4	43484.7	65180.1	57149.6	70738.6	68131.1	76843.7	62624.7
PEAK1	6108.64	7438.85	6613.83	8010.96	7895.82	7891	5482.77	7481.29	7282.67	7384.4	7592.41	7173.2
PEBP1	692888	626310	624078	526562	568616	579159	655742	650450	509900	470775	501628	500171
PEF1	11784.4	13652	12619.9	7507.26	13383.3	16626.4	11625.9	10330.5	12365.1	15675.7	11256.3	13818.1
PELO	37382.8	35268.7	35780.1	30901.5	31061.3	34554.8	36763.4	34179.7	34896.4	34397.7	33256.1	33981.5
PELP1	8141.4	7779.93	6705.79	11375.1	8572.9	9077.33	7383.75	7344.64	8542.14	6589.32	9443.39	9256.46
PEPD	74457.6	64328.9	69814.5	70875.8	53830.3	52771.2	80775.4	77988.5	70732.2	80025	75744.2	67097.7
PES1	88746.2	86832.4	91694.7	109195	111028	95922.2	105175	99048.1	112905	109364	121000	126650
PEX1	6218.71	5407.9	6017.41	4430.59	3448.34	4433.73	5050.72	4662.32	5302.43	6471.29	4631.52	5103.42
PEX14	38380.9	36867.7	37306.1	37532.6	43485.3	33448	38468.8	41322.9	31245.9	43535.9	39601.7	27275.4
PEX19	2207.47	2791.15	4309.12	4346.43	5133.11	3247.89	2715.06	3664.6	7060.47	7324.09	4544.46	3047.81
PEX5	7748.92	7152.1	8742.5	6469.76	6516.92	9000.18	7486.85	9484.92	7428.48	7460.94	7375.45	6998.72
PEX6	10681.9	10933.5		13246.1		12903.6	10677	13029.4	6990.17	8816.2	11157	
PFAS	72700.8	70709.6	68157.7	86197.6	89734	70228.2	61742.3	70068.6	71677.5	73281.3	80336.4	61119.7
PFDN1	52952.5	52837.1	42953.5	50197.2	65105.4	51347.6	44502.2	54658	31343.1	28991.8	38992.1	31012
PFDN2	144689	132052	126783	136467	151828	126976	123842	132353	109357	114466	116108	103060
PFDN4	47423	50457.3	39347.5	49697.2	56461.9	49569.5	44448.1	45488.6	43542.8	36624.3	40569.2	32073.2
PFDN5	179866	175649	178860	194813	193149	225005	201158	215364	203994	186309	204444	169660
PFDN6	158369	174721	163259	177385	239311	184007	181377	189513	182565	189492	192375	159550
PFKFB2	12000.1	11529.3	10742.6	11234.9	12611.7	11458.2	13465.1	9739.05	14412	16031	14666.9	11347.3
PFKFB3	9111.62	11780.5	13620.2	12676.7	13650.9	9367.04	16019.1	10610.8	18762.8	18521.4	20553	18642.9
PFKL	31716.4	32123.3	33668	35366.3	37648.4	31325.8	31769.1	31764.2	38394.1	34137	37799.3	34237.8
PFKM	118882	121237	125701	129739	127146	115661	129930	121292	169732	159103	166328	168387
PFKP	260073	289565	273709	256434	278462	269497	258609	263177	283612	268339	280867	256647
PFN1	2.0673e+06	2.11719e+06	2.0329e+06	2.00069e+06	1.99872e+06	2.01971e+06	2.15741e+06	1.93087e+06	2.00938e+06	1.79598e+06	2.05449e+06	1.72131e+06
PFN2	158050	161144	165318	162571	131921	175824	138037	171142	130122	121158	128417	92778.2
PGAM1	444910	354415	353474	314955	352816	424555	333823	383827	292999	348901	303695	349303
PGAM4	12671.5	5683.56	9732.57	9915.5	4691.9	8671.92	9409.4	3803.31	5141.71	10896.5	6513.04	7510.1
PGAM5	101454	84741.5	84874.3	95831	98644.5	96339.4	103090	84327	99750.8	64608.8	89455	99341
PGBD2	2350.34	1251.94	2136.08	2093.91				1990.49			1481.34	
PGD	335777	294155	315707	281090	233280	246515	318740	271935	330057	333552	301405	342696
PGK1	1.37001e+06	1.60438e+06	1.45936e+06	1.46616e+06	1.62455e+06	1.46727e+06	1.35917e+06	1.52386e+06	1.19202e+06	957321	1.25265e+06	993495
PGK2	53438.5	61150.3	59306.7	58734.6	51352.7	52392.5	60138	67172.3	57734.5	54062	59659	58421
PGLS	41171.7	53584.1	45523.3	52620.9	48906.3	58844.2	41526.3	51691.4	32531.2	33385.2	44895.7	31031.9
PGM1	70687.5	77759.6	70908.4	73887.5	67692.8	77668.2	66121.3	74949.3	71886	62651.6	64893.9	52428.6
PGM2	31611.3	33518.8	25389.1	31325.9	30184.8	35003.4	24926.3	35780.9	18152.6	17131.8	22443	15661.3
PGM3	46671.1	49577.9	59403.1	44767.4	49920.7	51015.4	41514.5	50440.1	35458.3	40933.8	38939.6	48390.7
PGM5	3723.91	3280.61	2680.84	1912.94	2954.45	2369.39	2317.69	1703.42		2502.33	2256.43	2822.5
PGP	56653.5	55260.1	50380.9	62207.9	56520	54362.4	64518	59342.6	73606.9	73757	71283.9	63147.4
PGRMC1	62899.7	42854.3	43869.4	56390.3	29108.5	53670.1	51443.4	46670.6	24454.5	50999	39116.9	29774.8
PGRMC2	21090.6	20515.8	19033.9	20008.1	21687.2	29602.4	22167.7	17663.7	15737.4	17661.6	15034.5	15149.2
PHACTR2	7783.13	6477.03	8230.61	6286.92	8019	6902.31	9667.69	6780.99	8694.68	7998	8726.64	8554.91
PHACTR4	3972.77	5207.77	5664.91	4231.5	7243.18	5362.59	4989.23	2980.37	5042.45	4695.81	5986.84	3309.88
PHAF1	6793.2	6663.34	6588.46	5186.44	6287.85	6147.15	7333.22	6586.01	7600.43	7644.73	6604.77	7720.51
PHAX	21980.2	18733.6	19078.9	15294.4	11237.1	18976.5	22661.6	18982.2	23646	18411	18555.9	18046.1
PHB	278193	304399	290783	310604	320756	309185	277703	339699	281235	275405	290796	263646
PHB2	491685	509646	418659	572140	638465	516541	455399	495446	420855	411267	392699	371908
PHC2	23478.4	18376	18150.6	20274.6	21919.1	23890.7	21226.4	23696.1	21399.5	21233.3	21074.5	17309.4
PHC3	19258	14292.5	15681.7	16035.3	14352.9	19672.2	15202.1	17165.1	18941.8	18006.7	19741.8	21691.1
PHF10	13297.2	13633.9	13611.9	15871.8	13915.5	12318.6	13429.8	15815.2	10573.3	9332.38	10584.8	9996.2
PHF12	2313.13	3266.74	3198.11	3800.71	3020.1	2655.71	3229.81	3641.78	3607.51	2177.18	2952.06	2894.52
PHF19			8244.08	8441.24	8530.23	7970.94	7900.5	6111.15	12066.5	12449.6	11125.3	10288.4
PHF2	8121.75	9405.67	8284.41	8958.86	11254	8497.75	9126.1	10892.1	12445.3	13135.4	11632.5	11442.5
PHF20	7470.77	6249.14	7990.09	3630.67	5131.79	6186.75	6759.35	7174.52	6364.19	6314.9	7680.61	6784.59
PHF20L1	9001.08	9902.91	9327.86	11591.9	12444.2	8952.32	9006.04	8888.14	10886.9	11624.7	10016.6	9247.24
PHF23	9146.55	7400.29	10267.2	12701.6	9891.32	15410.6	8340.33	10305.1	8021.13	7132.68	8748.85	3283.21
PHF3	33971.1	37666.6	35619.9	38870	36701.5	35648.4	34514.9	36240.9	35677.9	35598.2	35842.4	32119.2
